segment_area_id,year,bikecrash
37,2018,0
39,2018,0
46,2018,0
48,2018,0
49,2018,5
57,2018,5
58,2018,4
59,2018,4
172,2018,3
173,2018,8
234,2018,2
256,2018,5
272,2018,5
273,2018,1
274,2018,0
276,2018,0
278,2018,2
279,2018,1
282,2018,4
283,2018,4
284,2018,4
293,2018,9
296,2018,14
543,2018,1
1475,2018,0
1476,2018,0
1669,2018,5
1670,2018,3
1671,2018,3
1672,2018,1
1673,2018,0
1674,2018,4
1675,2018,6
1676,2018,12
1677,2018,19
1678,2018,37
1680,2018,62
1681,2018,76
1682,2018,65
1683,2018,41
1684,2018,4
1685,2018,1
1686,2018,0
1687,2018,4
1691,2018,3
1695,2018,28
1699,2018,0
1703,2018,0
1707,2018,4
1735,2018,18
1739,2018,14
1742,2018,0
1744,2018,0
1760,2018,1
37,2019,0
39,2019,0
46,2019,0
48,2019,5
49,2019,4
57,2019,5
58,2019,12
59,2019,11
172,2019,2
173,2019,7
234,2019,3
256,2019,6
272,2019,6
273,2019,0
274,2019,5
276,2019,5
278,2019,2
279,2019,1
282,2019,10
283,2019,10
284,2019,5
293,2019,11
296,2019,11
543,2019,3
1475,2019,0
1476,2019,0
1669,2019,3
1670,2019,1
1671,2019,1
1672,2019,1
1673,2019,0
1674,2019,4
1675,2019,10
1676,2019,19
1677,2019,19
1678,2019,47
1680,2019,46
1681,2019,55
1682,2019,63
1683,2019,39
1684,2019,6
1685,2019,0
1686,2019,0
1687,2019,7
1691,2019,5
1695,2019,23
1699,2019,1
1703,2019,0
1707,2019,7
1735,2019,21
1739,2019,11
1742,2019,1
1744,2019,0
1760,2019,2
37,2020,2
39,2020,0
46,2020,0
48,2020,4
49,2020,0
57,2020,0
58,2020,2
59,2020,2
172,2020,1
173,2020,4
234,2020,3
256,2020,2
272,2020,2
273,2020,2
274,2020,2
276,2020,2
278,2020,2
279,2020,0
282,2020,3
283,2020,3
284,2020,3
293,2020,7
296,2020,9
543,2020,0
1475,2020,1
1476,2020,0
1669,2020,0
1670,2020,0
1671,2020,0
1672,2020,1
1673,2020,0
1674,2020,2
1675,2020,5
1676,2020,5
1677,2020,10
1678,2020,10
1680,2020,19
1681,2020,25
1682,2020,30
1683,2020,17
1684,2020,3
1685,2020,0
1686,2020,1
1687,2020,1
1691,2020,1
1695,2020,11
1699,2020,0
1703,2020,0
1707,2020,2
1735,2020,12
1739,2020,7
1742,2020,0
1744,2020,0
1760,2020,1
37,2021,1
39,2021,2
46,2021,2
48,2021,1
49,2021,0
57,2021,0
58,2021,4
59,2021,4
172,2021,0
173,2021,0
234,2021,1
256,2021,0
272,2021,3
273,2021,1
274,2021,0
276,2021,1
278,2021,1
279,2021,0
282,2021,5
283,2021,4
284,2021,5
293,2021,2
296,2021,1
543,2021,0
1475,2021,2
1476,2021,0
1669,2021,2
1670,2021,0
1671,2021,0
1672,2021,0
1673,2021,0
1674,2021,5
1675,2021,4
1676,2021,6
1677,2021,5
1678,2021,18
1680,2021,15
1681,2021,29
1682,2021,35
1683,2021,25
1684,2021,1
1685,2021,1
1686,2021,0
1687,2021,6
1691,2021,4
1695,2021,13
1699,2021,1
1703,2021,0
1707,2021,4
1735,2021,19
1739,2021,3
1742,2021,0
1744,2021,0
1760,2021,1
37,2022,0
39,2022,0
46,2022,1
48,2022,2
49,2022,4
57,2022,5
58,2022,2
59,2022,2
172,2022,0
173,2022,5
234,2022,1
256,2022,6
272,2022,3
273,2022,1
274,2022,3
276,2022,2
278,2022,1
279,2022,1
282,2022,3
283,2022,3
284,2022,3
293,2022,5
296,2022,5
543,2022,0
1475,2022,0
1476,2022,0
1669,2022,1
1670,2022,2
1671,2022,2
1672,2022,2
1673,2022,0
1674,2022,2
1675,2022,2
1676,2022,3
1677,2022,4
1678,2022,17
1680,2022,30
1681,2022,33
1682,2022,47
1683,2022,11
1684,2022,4
1685,2022,0
1686,2022,0
1687,2022,7
1691,2022,5
1695,2022,12
1699,2022,2
1703,2022,0
1707,2022,5
1735,2022,9
1739,2022,4
1742,2022,2
1744,2022,0
1760,2022,1
37,2023,0
39,2023,0
46,2023,0
48,2023,0
49,2023,2
57,2023,3
58,2023,9
59,2023,8
172,2023,0
173,2023,0
234,2023,2
256,2023,0
272,2023,5
273,2023,1
274,2023,1
276,2023,1
278,2023,3
279,2023,1
282,2023,4
283,2023,4
284,2023,4
293,2023,0
296,2023,0
543,2023,0
1475,2023,0
1476,2023,0
1669,2023,3
1670,2023,0
1671,2023,0
1672,2023,0
1673,2023,0
1674,2023,7
1675,2023,9
1676,2023,9
1677,2023,7
1678,2023,14
1680,2023,49
1681,2023,36
1682,2023,48
1683,2023,29
1684,2023,4
1685,2023,0
1686,2023,0
1687,2023,2
1691,2023,3
1695,2023,15
1699,2023,1
1703,2023,0
1707,2023,9
1735,2023,7
1739,2023,0
1742,2023,0
1744,2023,0
1760,2023,0
