"","state","segment_area_id","year","month","n","volume_mt","vol_mdaily","type"
"1","DC",1669,2018,7,19,2470.5,130.026315789474,"bike"
"2","DC",1669,2018,11,1,0,0,"bike"
"3","DC",1669,2019,4,23,4,0.173913043478261,"bike"
"4","DC",1669,2019,5,31,0,0,"bike"
"5","DC",1669,2019,6,30,0,0,"bike"
"6","DC",1669,2019,7,31,736,23.741935483871,"bike"
"7","DC",1669,2019,8,28,2287,81.6785714285714,"bike"
"8","DC",1669,2019,9,30,3100,103.333333333333,"bike"
"9","DC",1669,2019,10,31,2270,73.2258064516129,"bike"
"10","DC",1669,2019,11,20,12075,603.75,"bike"
"11","DC",1669,2019,12,29,511.5,17.6379310344828,"bike"
"12","DC",1669,2020,1,31,316.5,10.2096774193548,"bike"
"13","DC",1669,2020,2,29,1.5,0.0517241379310345,"bike"
"14","DC",1669,2020,3,31,0,0,"bike"
"15","DC",1669,2020,4,8,0,0,"bike"
"16","DC",1669,2020,5,6,0,0,"bike"
"17","DC",1669,2020,6,25,0,0,"bike"
"18","DC",1669,2020,7,3,0,0,"bike"
"19","DC",1669,2020,8,5,0,0,"bike"
"20","DC",1669,2020,9,4,0,0,"bike"
"21","DC",1669,2020,10,2,128,64,"bike"
"22","DC",1669,2020,12,3,0,0,"bike"
"23","DC",1669,2021,2,2,0,0,"bike"
"24","DC",1669,2021,3,1,0,0,"bike"
"25","DC",1669,2021,4,2,0,0,"bike"
"26","DC",1669,2021,5,2,0,0,"bike"
"27","DC",1669,2021,6,1,0,0,"bike"
"28","DC",1669,2021,8,3,256,85.3333333333333,"bike"
"29","DC",1669,2021,9,4,4575,1143.75,"bike"
"30","DC",1669,2022,1,2,128,64,"bike"
"31","DC",1669,2022,5,3,512,170.666666666667,"bike"
"32","DC",1669,2022,6,7,5248,749.714285714286,"bike"
"33","DC",1669,2022,7,13,896,68.9230769230769,"bike"
"34","DC",1669,2022,8,9,13944,1549.33333333333,"bike"
"35","DC",1669,2022,9,8,1280,160,"bike"
"36","DC",1669,2022,10,7,1536,219.428571428571,"bike"
"37","DC",1669,2022,11,14,384,27.4285714285714,"bike"
"38","DC",1669,2022,12,3,192,64,"bike"
"39","DC",1669,2023,1,3,0,0,"bike"
"40","DC",1669,2023,2,1,0,0,"bike"
