"","state","segment_area_id","year","month","n","volume_mt","vol_mdaily","type"
"1","DC",1669,2018,7,19,3320,174.736842105263,"ped"
"2","DC",1669,2018,11,1,0,0,"ped"
"3","DC",1669,2019,4,23,32,1.39130434782609,"ped"
"4","DC",1669,2019,5,31,0,0,"ped"
"5","DC",1669,2019,6,30,0,0,"ped"
"6","DC",1669,2019,7,31,0,0,"ped"
"7","DC",1669,2019,8,28,0.5,0.0178571428571429,"ped"
"8","DC",1669,2019,9,30,0,0,"ped"
"9","DC",1669,2019,10,31,1791.5,57.7903225806452,"ped"
"10","DC",1669,2019,11,27,864,32,"ped"
"11","DC",1669,2019,12,31,15096.5,486.983870967742,"ped"
"12","DC",1669,2020,1,31,128.5,4.14516129032258,"ped"
"13","DC",1669,2020,2,29,0,0,"ped"
"14","DC",1669,2020,3,30,0,0,"ped"
"15","DC",1669,2020,4,1,0,0,"ped"
"16","DC",1669,2020,5,6,21548,3591.33333333333,"ped"
"17","DC",1669,2020,6,25,15808,632.32,"ped"
"18","DC",1669,2020,7,3,4928,1642.66666666667,"ped"
"19","DC",1669,2020,8,5,77797,15559.4,"ped"
"20","DC",1669,2020,9,6,16896,2816,"ped"
"21","DC",1669,2020,10,4,13824,3456,"ped"
"22","DC",1669,2021,4,1,0,0,"ped"
"23","DC",1669,2021,5,4,1920,480,"ped"
"24","DC",1669,2021,6,9,43520,4835.55555555556,"ped"
"25","DC",1669,2021,7,5,43776,8755.2,"ped"
"26","DC",1669,2021,8,9,70784,7864.88888888889,"ped"
"27","DC",1669,2021,9,9,103481.5,11497.9444444444,"ped"
"28","DC",1669,2021,10,1,9728,9728,"ped"
"29","DC",1669,2021,11,4,256,64,"ped"
"30","DC",1669,2021,12,1,0,0,"ped"
"31","DC",1669,2022,1,1,0,0,"ped"
"32","DC",1669,2022,2,1,0,0,"ped"
"33","DC",1669,2022,3,1,128,128,"ped"
"34","DC",1669,2022,4,6,25664,4277.33333333333,"ped"
"35","DC",1669,2022,5,5,31424,6284.8,"ped"
"36","DC",1669,2022,6,7,73088,10441.1428571429,"ped"
"37","DC",1669,2022,7,13,145024,11155.6923076923,"ped"
"38","DC",1669,2022,8,7,67840,9691.42857142857,"ped"
"39","DC",1669,2022,9,4,11776,2944,"ped"
"40","DC",1669,2022,10,31,14208,458.322580645161,"ped"
"41","DC",1669,2022,11,30,27648,921.6,"ped"
"42","DC",1669,2022,12,31,2560,82.5806451612903,"ped"
"43","DC",1669,2023,1,31,249088,8035.09677419355,"ped"
"44","DC",1669,2023,2,28,338304,12082.2857142857,"ped"
"45","DC",1669,2023,3,30,364544,12151.4666666667,"ped"
"46","DC",1669,2023,4,30,242046.5,8068.21666666667,"ped"
"47","DC",1669,2023,5,31,314108,10132.5161290323,"ped"
"48","DC",1669,2023,6,30,238682.5,7956.08333333333,"ped"
"49","DC",1669,2023,7,17,133918.5,7877.55882352941,"ped"
"50","DC",1670,2018,2,9,313.5,34.8333333333333,"ped"
"51","DC",1670,2018,3,31,894.5,28.8548387096774,"ped"
"52","DC",1670,2018,4,30,1288,42.9333333333333,"ped"
"53","DC",1670,2018,5,31,1494,48.1935483870968,"ped"
"54","DC",1670,2018,6,30,1689,56.3,"ped"
"55","DC",1670,2018,7,31,1410,45.4838709677419,"ped"
"56","DC",1670,2018,8,31,1485,47.9032258064516,"ped"
"57","DC",1670,2018,9,30,1362,45.4,"ped"
"58","DC",1670,2018,10,31,1176.5,37.9516129032258,"ped"
"59","DC",1670,2018,11,30,717.5,23.9166666666667,"ped"
"60","DC",1670,2018,12,31,655.5,21.1451612903226,"ped"
"61","DC",1670,2019,1,31,725.5,23.4032258064516,"ped"
"62","DC",1670,2019,2,28,738.5,26.375,"ped"
"63","DC",1670,2019,3,31,1044,33.6774193548387,"ped"
"64","DC",1670,2019,4,30,1440.5,48.0166666666667,"ped"
"65","DC",1670,2019,5,31,1678,54.1290322580645,"ped"
"66","DC",1670,2019,6,30,1810.5,60.35,"ped"
"67","DC",1670,2019,7,31,1824.5,58.8548387096774,"ped"
"68","DC",1670,2019,8,31,1651.5,53.2741935483871,"ped"
"69","DC",1670,2019,9,30,1665.5,55.5166666666667,"ped"
"70","DC",1670,2019,10,31,1413.5,45.5967741935484,"ped"
"71","DC",1670,2019,11,30,885,29.5,"ped"
"72","DC",1670,2019,12,31,651,21,"ped"
"73","DC",1670,2020,1,31,944,30.4516129032258,"ped"
"74","DC",1670,2020,2,29,134.5,4.63793103448276,"ped"
"75","DC",1670,2020,3,27,0,0,"ped"
"76","DC",1670,2020,4,30,0,0,"ped"
"77","DC",1670,2020,5,27,0,0,"ped"
"78","DC",1670,2020,6,28,0,0,"ped"
"79","DC",1670,2020,7,31,0,0,"ped"
"80","DC",1670,2020,8,31,0,0,"ped"
"81","DC",1670,2020,9,30,1502,50.0666666666667,"ped"
"82","DC",1670,2020,10,31,3403,109.774193548387,"ped"
"83","DC",1670,2020,11,30,2476.5,82.55,"ped"
"84","DC",1670,2020,12,31,1773,57.1935483870968,"ped"
"85","DC",1670,2021,1,31,2107.5,67.9838709677419,"ped"
"86","DC",1670,2021,2,28,1544,55.1428571428571,"ped"
"87","DC",1670,2021,3,31,3596,116,"ped"
"88","DC",1670,2021,4,30,3159,105.3,"ped"
"89","DC",1670,2021,5,31,3434.5,110.790322580645,"ped"
"90","DC",1670,2021,6,30,3126.5,104.216666666667,"ped"
"91","DC",1670,2021,7,31,2898,93.4838709677419,"ped"
"92","DC",1670,2021,8,31,2664,85.9354838709677,"ped"
"93","DC",1670,2021,9,30,3471,115.7,"ped"
"94","DC",1670,2021,10,31,2784,89.8064516129032,"ped"
"95","DC",1670,2021,11,30,1825.5,60.85,"ped"
"96","DC",1670,2021,12,31,1546.5,49.8870967741936,"ped"
"97","DC",1670,2022,1,31,991,31.9677419354839,"ped"
"98","DC",1670,2022,2,28,1776.5,63.4464285714286,"ped"
"99","DC",1670,2022,3,31,2268.5,73.1774193548387,"ped"
"100","DC",1670,2022,4,30,2577,85.9,"ped"
"101","DC",1670,2022,5,31,2671.5,86.1774193548387,"ped"
"102","DC",1670,2022,6,30,2654,88.4666666666667,"ped"
"103","DC",1670,2022,7,31,2106.5,67.9516129032258,"ped"
"104","DC",1670,2022,8,31,16112.5,519.758064516129,"ped"
"105","DC",1670,2022,9,30,17133.5,571.116666666667,"ped"
"106","DC",1670,2022,10,31,21795,703.064516129032,"ped"
"107","DC",1670,2022,11,30,1619,53.9666666666667,"ped"
"108","DC",1670,2022,12,31,8.5,0.274193548387097,"ped"
"109","DC",1670,2023,1,31,210,6.7741935483871,"ped"
"110","DC",1670,2023,2,28,46,1.64285714285714,"ped"
"111","DC",1670,2023,3,30,0,0,"ped"
"112","DC",1670,2023,4,30,0,0,"ped"
"113","DC",1670,2023,5,31,0,0,"ped"
"114","DC",1670,2023,6,30,0,0,"ped"
"115","DC",1670,2023,7,17,0,0,"ped"
"116","DC",1671,2018,3,31,685,22.0967741935484,"ped"
